NumOfEventsInJourney,NumSessions,interactionTime,maxPrice,minPrice,NumCart,NumView,InsessionCart,InsessionView,year,month,weekday,timeOfDay,Weekend,Purchase
1,1,0,1134.98,1134.98,0,1,0,1,2019,11,4,3,0,0
1,1,0,591.78,591.78,0,1,0,1,2019,11,5,3,0,0
1,1,0,11.76,11.76,0,1,0,1,2019,11,7,5,0,0
1,1,0,46.33,46.33,1,0,1,0,2019,11,5,5,0,0
1,1,0,56.63,56.63,0,1,0,1,2019,11,7,2,0,0
1,1,0,283.38,283.38,0,1,0,1,2019,11,1,2,0,0
1,1,0,36.04,36.04,0,1,0,1,2019,11,4,6,0,0
1,1,0,17.89,17.89,0,1,0,1,2019,11,7,2,0,0
2,1,64,339.75,339.75,0,2,0,2,2019,11,7,2,0,0
1,1,0,365.52,365.52,0,1,0,1,2019,11,3,5,0,0
1,1,0,202.29,202.29,0,1,0,1,2019,11,7,3,0,0
1,1,0,202.29,202.29,0,1,0,1,2019,11,7,3,0,0
1,1,0,100.65,100.65,0,1,0,3,2019,11,4,6,0,0
1,1,0,60.75,60.75,0,1,0,1,2019,11,1,1,0,0
1,1,0,76.87,76.87,0,1,0,1,2019,11,2,5,0,0
1,1,0,190.46,190.46,0,1,0,1,2019,11,1,1,0,0
1,1,0,0.95,0.95,0,1,0,1,2019,11,6,2,0,0
1,1,0,65.64,65.64,0,1,0,1,2019,11,2,2,0,0
1,1,0,463.26,463.26,0,1,0,2,2019,11,3,5,0,0
1,1,0,771.42,771.42,0,1,0,1,2019,11,5,5,0,0
1,1,0,59.18,59.18,0,1,0,1,2019,11,5,2,0,0
1,1,0,143.23,143.23,0,1,0,1,2019,11,5,3,0,0
1,1,0,82.63,82.63,0,1,0,2,2019,11,4,1,0,0
1,1,0,24.45,24.45,0,1,0,1,2019,11,5,3,0,0
1,1,0,87.13,87.13,0,1,0,1,2019,11,5,6,0,0
1,1,0,17.99,17.99,1,0,1,1,2019,11,4,6,0,0
1,1,0,827.2,827.2,0,1,0,1,2019,11,5,3,0,0
1,1,0,128.45,128.45,0,1,0,3,2019,11,1,5,0,0
1,1,0,144.13,144.13,0,1,0,1,2019,11,2,2,0,0
1,1,0,42.73,42.73,0,1,0,1,2019,11,1,3,0,0
1,1,0,162.17,162.17,0,1,0,1,2019,11,1,1,0,0
2,1,124,1431.16,1431.16,0,2,0,2,2019,11,7,7,0,0
1,1,0,246,246,0,1,0,1,2019,11,5,1,0,0
1,1,0,187.88,187.88,0,1,0,1,2019,11,5,5,0,0
2,1,1737,136.67,136.67,1,1,1,1,2019,11,2,6,0,0
1,1,0,113.77,113.77,0,1,0,1,2019,11,3,3,0,0
1,1,0,153.16,153.16,0,1,0,2,2019,11,6,6,0,0
1,1,0,70.38,70.38,0,1,0,1,2019,11,5,5,0,0
1,1,0,93.16,93.16,0,1,0,1,2019,11,5,3,0,0
1,1,0,89.84,89.84,0,1,0,1,2019,11,6,3,0,0
1,1,0,35.99,35.99,1,0,1,1,2019,11,6,5,0,0
1,1,0,23.68,23.68,0,1,0,1,2019,11,4,5,0,0
1,1,0,168.78,168.78,0,1,0,1,2019,11,3,3,0,0
1,1,0,2156.4,2156.4,0,1,0,1,2019,11,1,4,0,0
1,1,0,36.01,36.01,0,1,0,1,2019,11,7,2,0,0
1,1,0,131.66,131.66,0,1,0,1,2019,11,2,4,0,0
1,1,0,50.19,50.19,0,1,0,1,2019,11,1,3,0,0
1,1,0,126.86,126.86,0,1,0,1,2019,11,3,5,0,0
1,1,0,115.83,115.83,0,1,0,1,2019,11,4,6,0,0
1,1,0,88.52,88.52,0,1,0,2,2019,11,4,3,0,0
1,1,0,1902.24,1902.24,0,1,0,1,2019,11,3,5,0,0
1,1,0,115.58,115.58,0,1,0,2,2019,11,6,2,0,0
1,1,0,169.35,169.35,0,1,0,2,2019,11,7,6,0,0
1,1,0,105.54,105.54,0,1,0,1,2019,11,2,6,0,0
1,1,0,169.35,169.35,0,1,0,1,2019,11,7,2,0,0
1,1,0,161.47,161.47,0,1,0,2,2019,11,6,5,0,0
1,1,0,1253.73,1253.73,0,1,0,1,2019,11,1,5,0,0
1,1,0,1644.08,1644.08,0,1,0,1,2019,11,6,2,0,0
1,1,0,761.9,761.9,0,1,0,1,2019,11,4,6,0,0
1,1,0,231.92,231.92,0,1,0,2,2019,11,5,5,0,0
1,1,0,334.37,334.37,0,1,1,1,2019,11,6,3,0,0
1,1,0,849.16,849.16,0,1,0,1,2019,11,7,3,0,0
1,1,0,79.77,79.77,0,1,0,2,2019,11,7,5,0,0
1,1,0,139.64,139.64,0,1,0,1,2019,11,4,6,0,0
1,1,0,66.93,66.93,0,1,0,1,2019,11,2,4,0,0
1,1,0,2053.48,2053.48,0,1,0,1,2019,11,6,1,0,0
2,2,154,932.88,932.88,0,2,0,1,2019,11,5,6,0,0
1,1,0,718.31,718.31,1,0,1,0,2019,11,7,6,0,0
1,1,0,477.83,477.83,0,1,0,1,2019,11,6,6,0,0
1,1,0,952.15,952.15,0,1,0,1,2019,11,1,5,0,0
1,1,0,411.59,411.59,0,1,0,1,2019,11,3,2,0,0
1,1,0,231.64,231.64,0,1,0,1,2019,11,2,1,0,0
1,1,0,44.32,44.32,0,1,0,1,2019,11,6,5,0,0
1,1,0,30.61,30.61,0,1,0,1,2019,11,7,3,0,0
1,1,0,105.54,105.54,0,1,0,1,2019,11,7,6,0,0
1,1,0,554.97,554.97,0,1,0,2,2019,11,6,6,0,0
1,1,0,61.52,61.52,0,1,0,1,2019,11,3,1,0,0
1,1,0,1235.3,1235.3,0,1,0,1,2019,11,2,1,0,0
1,1,0,476.17,476.17,0,1,0,1,2019,11,1,2,0,0
1,1,0,9.24,9.24,0,0,0,0,2019,11,3,1,0,1
1,1,0,476.2,476.2,0,1,0,1,2019,11,7,3,0,0
1,1,0,255.61,255.61,0,1,0,1,2019,11,3,2,0,0
1,1,0,144.66,144.66,0,1,0,1,2019,11,3,3,0,0
2,2,278600,344.93,344.93,0,2,0,1,2019,11,2,2,0,0
1,1,0,15.7,15.7,0,1,0,1,2019,11,5,5,0,0
1,1,0,150.07,150.07,0,1,0,2,2019,11,4,5,0,0
1,1,0,129.22,129.22,0,1,0,2,2019,11,4,3,0,0
1,1,0,916.37,916.37,0,1,0,1,2019,11,6,5,0,0
2,2,407551,108.09,108.09,0,2,0,2,2019,11,6,1,0,0
1,1,0,28.06,28.06,0,1,0,2,2019,11,6,2,0,0
1,1,0,9.01,9.01,0,0,0,0,2019,11,7,3,0,1
1,1,0,243.99,243.99,0,1,0,1,2019,11,7,2,0,0
1,1,0,72.05,72.05,0,1,0,2,2019,11,3,5,0,0
1,1,0,823.68,823.68,0,1,0,1,2019,11,7,4,0,0
1,1,0,257.38,257.38,0,1,0,1,2019,11,3,2,0,0
1,1,0,184.69,184.69,0,1,0,1,2019,11,6,5,0,0
1,1,0,61.78,61.78,0,1,0,1,2019,11,2,3,0,0
1,1,0,154.42,154.42,0,1,0,1,2019,11,6,7,0,0
1,1,0,41.16,41.16,0,1,0,1,2019,11,6,1,0,0
1,1,0,10.35,10.35,0,1,0,3,2019,11,4,7,0,0
1,1,0,93.64,93.64,0,1,0,2,2019,11,6,4,0,0
1,1,0,86.12,86.12,0,1,0,2,2019,11,6,5,0,0
1,1,0,120.47,120.47,0,1,0,1,2019,11,6,5,0,0
1,1,0,421.38,421.38,0,1,0,1,2019,11,7,2,0,0
1,1,0,916.37,916.37,0,1,0,1,2019,11,7,5,0,0
1,1,0,523.31,523.31,0,1,0,2,2019,11,6,6,0,0
1,1,0,795.13,795.13,0,0,0,0,2019,11,1,2,0,1
2,2,1534,99.1,99.1,0,2,0,1,2019,11,5,2,0,0
3,2,15363,89.84,89.84,2,1,2,1,2019,11,5,2,0,0
1,1,0,715.33,715.33,0,1,0,1,2019,11,4,5,0,0
1,1,0,162.09,162.09,0,1,0,1,2019,11,5,3,0,0
1,1,0,52.4,52.4,0,1,0,2,2019,11,1,4,0,0
1,1,0,121.24,121.24,0,1,0,1,2019,11,2,3,0,0
1,1,0,205.36,205.36,0,1,0,1,2019,11,1,1,0,0
1,1,0,127.7,127.7,0,1,0,1,2019,11,6,5,0,0
1,1,0,462.97,462.97,1,0,1,0,2019,11,6,5,0,0
2,1,8588,230.38,230.38,0,2,0,3,2019,11,6,5,0,0
1,1,0,613.22,613.22,0,0,0,0,2019,11,2,2,0,1
1,1,0,89.84,89.84,0,1,0,1,2019,11,4,2,0,0
1,1,0,431.16,431.16,0,1,0,1,2019,11,5,5,0,0
1,1,0,437.33,437.33,0,1,0,1,2019,11,3,5,0,0
1,1,0,239.36,239.36,0,1,0,1,2019,11,3,3,0,0
1,1,0,795.9,795.9,0,1,0,1,2019,11,6,5,0,0
1,1,0,82.63,82.63,0,1,0,1,2019,11,4,2,0,0
1,1,0,48.88,48.88,0,1,0,1,2019,11,3,2,0,0
1,1,0,755.49,755.49,0,1,0,1,2019,11,3,6,0,0
1,1,0,23.42,23.42,0,1,0,2,2019,11,2,5,0,0
1,1,0,295.73,295.73,0,1,0,1,2019,11,2,3,0,0
1,1,0,145.18,145.18,0,1,0,1,2019,11,2,6,0,0
1,1,0,95.21,95.21,0,1,0,1,2019,11,2,4,0,0
1,1,0,115.8,115.8,0,1,0,1,2019,11,1,6,0,0
1,1,0,179.16,179.16,0,1,0,1,2019,11,7,2,0,0
1,1,0,50.45,50.45,0,1,0,1,2019,11,7,2,0,0
